gonderici_id,Toplam_fatura,Toplam_fatura_dovizi,Toplam_navlun,Toplam_navlun_dovizi,Toplam_sigorta,Toplam_sigorta_dovizi,Toplam_yurt_disi_harcamalar,Toplam_yurt_disi_harcamalarin_dovizi,Toplam_yurt_ici_harcamalar,Telafi_edici_vergi,Kap_adedi,DolayliOdeme,Komisyon,Tellaliye,RoyaltiLisans,Nakliye,Sigorta,GirisSonrasiNakliye,DigerOdemeler,VergiHarcFon,Brut_agirlik,Net_agirlik,Istatistiki_miktar,Fatura_miktari,Fatura_miktarinin_dovizi,Navlun_miktari,Navlun_miktarinin_dovizi,Istatistiki_kiymet,Sigorta_miktari,Sigorta_miktarinin_dovizi,Miktar_birimi,Adedi,Miktar,Yurtici_Diger,Yurtici_Banka,Yurtici_Depolama,Yurtici_Tahliye,Yurtici_Liman,Yurtici_Kultur,Yurtici_Kkdf,KDV_Iceren_Yurtici_Giderler_Toplami,Yurtici_Cevre,YurtDisi_Komisyon,YurtDisi_Komisyon_Dovizi,YurtDisi_Demuraj,YurtDisi_Demuraj_Dovizi,YurtDisi_Royalti,YurtDisi_Royalti_Dovizi,YurtDisi_Faiz,YurtDisi_Faiz_Dovizi,YurtDisi_Diger,YurtDisi_Diger_Dovizi,Alici,Rejim,Cikis_ulkesi,Gidecegi_sevk_ulkesi,Teslim_sekli,Teslim_yeri,Gonderici_satici_iliskisi,Islemin_niteligi,OdemeSekliKodu,VergiKodu,Gtip,Mensei_ulke,KDV_Oran,file_name
NoGonderici,2834.0,EUR,124500.0,,150.0,TRY,0.0,,5724.1,0.0,16.0,0.0,0.0,0.0,0.0,124500.0,150.0,0.0,0.0,0.0,20560.0,20000.0,20000.0,2834.0,EUR,124500.0,TRY,0.0,150.0,TRY,KGM,16.0,20000.0,1624.1,100.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4071,004,005,FCA,ALMANYA,,11,2,10,250700800011,004,,IM10411 - giden.xml
NoGonderici,12182.4,EUR,3040.0,,200.0,TRY,0.0,,108500.0,0.0,40.0,0.0,0.0,0.0,0.0,99487.04,200.0,0.0,0.0,0.0,41400.0,40000.0,40000.0,12182.4,EUR,3040.0,EUR,0.0,200.0,TRY,KGM,2.0,40000.0,4000.0,0.0,82500.0,4000.0,18000.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4000,004,017,FCA,ALMANYA,,11,2,10,250700800012,004,,IM519 - giden.xml
NoGonderici,22435.0,EUR,14500.0,,350.0,TRY,0.0,,6000.0,0.0,5.0,0.0,0.0,0.0,0.0,2900.0,7.91,0.0,0.0,0.0,215.44,71.16,4.0,21928.0,EUR,11600.0,TRY,0.0,342.09,TRY,C62,5.0,4.0,977.4,0.0,4887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4071,005,005,FCA,İTALYA,,11,1,10,591000000000,004,,IM750 - giden.xml
NoGonderici,154320.0,EUR,123500.0,,1650.0,TRY,0.0,,6724.1,0.0,44.0,0.0,0.0,0.0,0.0,123500.0,1650.0,0.0,0.0,0.0,7895.12,5499.2,28000.0,154320.0,EUR,123500.0,TRY,0.0,1650.0,TRY,C62,44.0,28000.0,2624.1,100.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4071,004,098,FCA,ALMANYA,,,2,10,848180190012,720,,IM200 - giden.xml
NoGonderici,180.89,GBP,0.0,,0.0,,12750.0,TRY,8000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.34,1.0,40.95,GBP,0.0,,0.0,0.0,,C62,1.0,1.0,226.38,0.0,1584.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,2886.35,TRY,,4000,006,006,CIP,İSTANBUL,,,7,10,350699009011,007,,IM18634 - giden.xml
NoGonderici,22965.0,USD,16850.0,,350.0,TRY,0.0,,18100.0,0.0,3.0,0.0,0.0,0.0,0.0,1048.75,23.4,0.0,0.0,0.0,1038.1,810.0,400.0,21430.0,USD,15801.25,TRY,0.0,326.6,TRY,C62,1.0,400.0,1866.31,93.31,9331.59,1866.31,3732.63,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4000,720,720,FOB,ÇİN HALK CUMHURİYETİ,,,2,10,848180110000,720,,IM18399 - giden.xml
NoGonderici,6966.0,EUR,0.0,,100.0,TRY,0.0,,176000.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,52000.0,51600.0,51600.0,6966.0,EUR,0.0,,0.0,100.0,TRY,KGM,2.0,51600.0,5000.0,0.0,137000.0,4000.0,30000.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4000,011,011,CFR,İSTANBUL,,11,2,10,252910000012,011,,IM455 - giden.xml
NoGonderici,51255.0,EUR,18500.0,,650.0,TRY,0.0,,109724.1,0.0,17.0,0.0,0.0,0.0,0.0,18500.0,650.0,0.0,0.0,0.0,25925.0,25500.0,25500.0,51255.0,EUR,18500.0,TRY,0.0,650.0,TRY,KGM,17.0,25500.0,5624.1,100.0,95000.0,4000.0,5000.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4071,003,003,FOB,HOLLANDA,,,2,10,253090700000,003,,IM13841 - giden.xml
NoGonderici,25000.0,EUR,117500.0,,350.0,TRY,3250.0,TRY,6624.1,0.0,20.0,0.0,0.0,0.0,0.0,117500.0,350.0,0.0,0.0,0.0,20440.0,20000.0,20000.0,25000.0,EUR,117500.0,TRY,0.0,350.0,TRY,KGM,20.0,20000.0,1624.1,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,3250.0,TRY,,4071,011,001,EXW,İSPANYA,,11,1,10,320710000000,011,,IM12647 - giden.xml
NoGonderici,19700.0,EUR,66850.0,,250.0,TRY,2464.82,TRY,5624.1,0.0,20.0,0.0,0.0,0.0,0.0,66850.0,250.0,0.0,0.0,0.0,20600.0,20000.0,20000.0,19700.0,EUR,66850.0,TRY,0.0,250.0,TRY,KGM,20.0,20000.0,1624.1,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,75.0,EUR,,4071,091,098,FCA,SLOVENYA,,11,2,10,281820000000,091,,IM425 - giden.xml
